id,instance,anger,disgust,fear,joy,sadness,surprise,VADER_neg,VADER_neu,VADER_pos,VADER_compound,TextBlob_polarity,TextBlob_subjectivity,AFINN
17,Madonna's new baby's daddy didn't realize adoption was `for good',0,0,2,9,7,62,0.0,0.756,0.244,0.4404,0.41818181818181815,0.5272727272727273,3.0
18,Women in their 60s 'are perfectly good mothers',19,19,23,24,26,11,0.0,0.458,0.542,0.7964,0.7,0.6000000000000001,6.0
19,We're a pretty kind 'bully',0,0,0,13,0,0,0.0,0.233,0.767,0.765,0.425,0.95,1.0
22,Kidnapped AP photographer freed in Gaza,30,28,50,49,31,37,0.0,0.649,0.351,0.4019,0.0,0.0,-2.0
23,"Bush Insists Troops Stay in Iraq, Predicts Midterm Victory",34,52,46,6,39,0,0.0,1.0,0.0,0.0,0.0,0.0,3.0
24,Hurricane Paul Weakens To Tropical Storm,0,0,34,33,0,37,0.315,0.685,0.0,-0.3182,0.0,0.0,0.0
25,UK announces immigration restrictions,42,40,39,0,41,16,0.0,1.0,0.0,0.0,0.0,0.0,0.0
27,Poison Pill to Swallow: Hawks Hurting After Loss to Vikes,0,8,23,0,26,0,0.548,0.452,0.0,-0.8176,0.0,0.0,-7.0
28,Injured Marathon Winner Leaves Hospital,14,11,7,67,21,0,0.284,0.316,0.4,0.2732,0.0,0.0,2.0
29,Hacker unlocks Apple music download protection,21,14,12,25,0,52,0.0,1.0,0.0,0.0,0.0,0.0,0.0
30,Spanish journalist seized in Gaza,61,51,65,0,52,21,0.0,1.0,0.0,0.0,0.0,0.0,0.0
31,Sudan urges UN to replace its special envoy,12,6,0,0,0,16,0.0,0.722,0.278,0.4019,0.35714285714285715,0.5714285714285714,0.0
32,Resolution approved for international games,0,0,0,45,0,15,0.0,0.588,0.412,0.4215,0.0,0.0,4.0
33,Pair of Satellites Will Document Sun in 3-D,0,0,0,43,0,32,0.0,1.0,0.0,0.0,0.0,0.0,0.0
36,Did Viking Probes Miss Life on Mars?,11,0,6,0,10,41,0.211,0.789,0.0,-0.1531,0.0,0.0,-2.0
37,Diplomat acknowledges US arrogance in Iraq,45,44,0,14,18,26,0.405,0.595,0.0,-0.5267,0.0,0.0,0.0
38,More Human Remains Found at Ground Zero,39,22,6,0,68,27,0.0,1.0,0.0,0.0,0.25,0.3,0.0
39,How to Prevent Iraq From Getting Even Worse,31,39,67,0,33,0,0.304,0.588,0.108,-0.4588,-0.4,0.6,-4.0
40,Tensions as Hungary marks uprising,25,0,32,0,32,7,0.403,0.597,0.0,-0.4019,0.0,0.0,0.0
41,Stanford study warns of Internet addiction,0,13,23,0,9,3,0.219,0.781,0.0,-0.1027,0.0,0.0,-2.0
42,No evidence of ice reserves on the moon,0,0,0,0,16,10,0.239,0.761,0.0,-0.296,0.0,0.0,-1.0
43,A Picture and A Thousand Words,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
44,Parachutist dies at bridge-jump festival,6,6,33,6,88,0,0.0,0.556,0.444,0.4939,0.0,0.0,0.0
45,US Troops Killed In October In Iraq,46,39,41,0,77,0,0.429,0.571,0.0,-0.6705,-0.2,0.0,-3.0
46,"Chefs not counting calories, study finds",15,0,5,0,21,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
48,Perfect lives lose their focus,0,0,5,34,16,6,0.287,0.319,0.394,0.25,1.0,1.0,3.0
49,Bread-Heavy Diet Linked to Kidney Cancer,1,5,55,0,42,23,0.468,0.532,0.0,-0.6597,0.0,0.0,-1.0
50,Beating poverty in a small way,0,0,8,32,28,0,0.677,0.323,0.0,-0.743,-0.25,0.4,-2.0
51,Israel insists on Lebanon overflights,39,31,4,0,33,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
52,Britain to restrict immigrants from new EU members,7,8,7,0,4,0,0.271,0.729,0.0,-0.3818,0.13636363636363635,0.45454545454545453,-2.0
54,Game on! London exhibition celebrates the history of video games,0,0,0,70,0,6,0.0,0.693,0.307,0.6114,-0.5,0.4,3.0
55,Making peace from victory over poverty,0,0,10,63,16,0,0.306,0.37,0.324,0.0516,0.0,0.0,4.0
56,Marine killed in fighting west of Baghdad,24,0,44,0,50,0,0.583,0.417,0.0,-0.7906,-0.2,0.0,-5.0
57,Scientists create first cloaking device,0,0,0,17,0,17,0.0,0.656,0.344,0.2732,0.25,0.3333333333333333,0.0
58,Amateur rocket scientists reach for space,0,0,0,12,0,9,0.0,0.82,0.18,0.0258,-0.25,0.25,1.0
61,Israel admits using phosphorous shells in Lebanon,54,47,6,0,59,16,0.0,0.732,0.268,0.296,0.0,0.0,-1.0
62,4th person dies after receiving flu shot,39,0,56,0,57,0,0.302,0.698,0.0,-0.3818,0.0,0.0,-2.0
63,Police and shoppers targeted in growing Iraq violence,45,38,75,0,53,0,0.347,0.508,0.144,-0.5267,0.0,0.0,-2.0
64,Scientists discover miracle in the depths,0,0,3,21,0,47,0.0,0.568,0.432,0.5859,0.0,0.0,4.0
65,Doctors Seeing Patients Who Think They're Internet Addicted,0,0,0,9,16,12,0.0,1.0,0.0,0.0,-0.4,0.6,0.0
66,China launches two satellites into orbit,0,0,0,30,0,6,0.0,1.0,0.0,0.0,0.0,0.0,0.0
68,Hurricane Paul nears Category 3 status,0,0,68,0,23,6,0.0,1.0,0.0,0.0,0.0,0.0,0.0
69,"Russian ship sinks, 18-member crew missing",5,0,60,0,71,0,0.306,0.694,0.0,-0.296,-0.10000000000000002,0.016666666666666666,-2.0
70,Iran's president urges higher birth rate,0,1,0,2,0,13,0.0,1.0,0.0,0.0,0.25,0.5,0.0
71,Apple set for massive market gains,0,0,0,26,0,6,0.0,0.676,0.324,0.34,0.0,1.0,2.0
72,Tumor Types May Explain Survival Rates for Cancer,0,0,9,14,24,6,0.538,0.462,0.0,-0.7906,0.0,0.0,-3.0
73,Routine mission turns into hunt for missing comrade,3,0,16,0,26,20,0.239,0.761,0.0,-0.296,-0.2,0.05,-2.0
74,Bad weather slows S.Korean search for Russian ship,6,16,2,0,42,0,0.333,0.667,0.0,-0.5423,-0.3499999999999999,0.3333333333333333,-3.0
75,Tailors and housewives busy as Muslims celebrate Eid,8,0,0,54,21,0,0.0,0.654,0.346,0.5719,0.1,0.3,3.0
76,Active peace brings the promise of development,0,0,0,87,0,0,0.0,0.32,0.68,0.8176,-0.13333333333333333,0.6,4.0
77,Abbas condemns Israeli massacre in northern Gaza Strip,70,74,70,0,51,0,0.32,0.68,0.0,-0.5106,0.0,0.0,-2.0
78,"Bangladesh ferry sinks, 15 dead",24,0,16,0,85,0,0.518,0.482,0.0,-0.6486,-0.15000000000000002,0.2,-3.0
79,Bucs find a new kick in life,0,0,0,20,0,17,0.0,1.0,0.0,0.0,0.13636363636363635,0.45454545454545453,0.0
80,Google to unveil election mashup,0,0,0,10,0,16,0.0,1.0,0.0,0.0,0.0,0.0,0.0
81,Police warn of child exploitation online,52,64,50,0,43,0,0.219,0.781,0.0,-0.1027,0.0,0.0,-2.0
82,Breast Cancer Awareness is Important,0,0,31,0,12,0,0.478,0.326,0.196,-0.5574,0.4,1.0,1.0
83,Hungary police tackle violent protestors,18,0,16,3,27,0,0.494,0.506,0.0,-0.5994,-0.8,1.0,-3.0
84,Three drivers had reason to be proud in Brazil,0,0,0,44,0,0,0.0,0.721,0.279,0.4767,0.8,1.0,2.0
85,Celebrities Protest Malibu Gas Facility,25,0,0,27,27,0,0.333,0.667,0.0,-0.25,0.0,0.0,-2.0
86,Lebo: A life lived on the edge,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
87,"Presto! He's Batman, then magic man",0,0,0,30,0,34,0.0,1.0,0.0,0.0,0.5,1.0,0.0
88,"Heavy use of mobile phones can make men infertile, scientists say",0,0,44,0,17,35,0.0,1.0,0.0,0.0,-0.2,0.5,0.0
89,Russian ship sinks in Pacific,9,0,23,0,66,12,0.0,1.0,0.0,0.0,-0.05,0.0,0.0
90,China Successfully Launches Two Satellites,0,0,0,91,0,0,0.0,0.556,0.444,0.4939,0.75,0.95,3.0
91,Prestige has magic touch,0,0,0,31,0,0,0.0,1.0,0.0,0.0,0.5,1.0,0.0
92,"Lies, damned lies, and divorce",43,40,10,0,50,0,0.804,0.196,0.0,-0.802,0.0,0.0,-4.0
93,Manning inspires Giants to victory in Dallas,0,0,0,44,0,0,0.0,0.674,0.326,0.4404,0.0,0.0,5.0
94,Riot warning for France suburbs,46,27,31,0,53,4,0.667,0.333,0.0,-0.7184,0.0,0.0,-5.0
95,Full recovery expected for marathon winner,0,0,0,89,0,13,0.0,0.568,0.432,0.5859,0.12499999999999999,0.47500000000000003,4.0
96,Sony apologises for global battery recall,6,0,0,0,29,0,0.0,0.735,0.265,0.2023,0.0,0.0,-1.0
97,Questions on credit card safety,1,0,5,0,5,0,0.0,0.357,0.643,0.6597,0.0,0.0,1.0
98,Budapest calm after night of violent protests,34,2,18,18,17,0,0.479,0.331,0.19,-0.5423,-0.25,0.875,-3.0
100,Report criticises US press freedoms,25,24,6,21,13,13,0.307,0.4,0.293,-0.0258,0.0,0.0,0.0
101,French suburb riots could resume,6,0,50,0,22,0,0.452,0.548,0.0,-0.5106,0.0,0.0,-2.0
102,Photographer kidnapping condemned,47,55,0,21,33,3,0.592,0.408,0.0,-0.4404,0.0,0.0,-4.0
103,Photographer kidnapped in Gaza,55,56,40,0,54,24,0.0,1.0,0.0,0.0,0.0,0.0,-2.0
104,Baseball: Rogers enjoys his muddied streak,0,0,0,67,0,15,0.0,0.602,0.398,0.5106,0.0,0.0,2.0
105,"Cultural revolutionary, the iPod is five",0,0,0,62,0,16,0.0,1.0,0.0,0.0,0.1,0.1,0.0
106,Life on Mars? Maybe We Missed It,0,2,0,11,3,29,0.268,0.732,0.0,-0.296,0.0,0.0,-2.0
110,Inconvenient truths,12,3,5,0,8,3,0.462,0.0,0.538,0.1027,-0.6,1.0,-2.0
111,Dating difficult for Harry Potter,4,0,0,0,0,8,0.385,0.615,0.0,-0.3612,-0.5,1.0,-1.0
112,Students lose their rite of passage,0,0,0,0,25,0,0.351,0.649,0.0,-0.4019,0.0,0.0,0.0
113,Putin vows to tackle illegal immigration,10,7,0,0,10,3,0.419,0.581,0.0,-0.5574,-0.5,0.5,-3.0
114,Ottawa must redefine 'terror',0,0,66,0,10,0,0.0,1.0,0.0,0.0,0.0,0.0,-3.0
115,"Britain to Limit Workers from Romania, Bulgaria",5,10,22,0,10,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
116,Top General Optimistic on Iraq,28,30,0,27,44,0,0.0,0.423,0.577,0.4767,0.275,0.5,4.0
117,Kim Osorio Wins Sexual Harrassment Suit Against The Source,8,8,0,36,3,0,0.0,0.684,0.316,0.5719,0.4,0.5166666666666667,4.0
118,Silly and substantial,0,1,0,2,0,0,0.0,0.256,0.744,0.2263,-0.5,0.875,0.0
119,Official laughs for Borat,24,22,0,34,25,0,0.0,0.484,0.516,0.4939,0.0,0.0,1.0
120,Speaker Hastert testifies before panel probing sex scandal,9,18,0,0,14,0,0.293,0.707,0.0,-0.4404,0.0,0.0,-3.0
121,On Educating Sexes Separately,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
124,Ukraine gas deal marred by fears,21,20,84,0,25,0,0.359,0.641,0.0,-0.4215,0.0,0.0,0.0
125,Marathon victory comes at heavy cost,5,0,0,38,38,0,0.0,1.0,0.0,0.0,-0.2,0.5,3.0
126,College tuition continues climbing,54,31,3,0,40,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0
127,German paper shows soldiers desecrating skull,43,66,17,0,37,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
128,"War is close, Ethiopia tells Somali rebels",52,33,57,12,40,0,0.533,0.467,0.0,-0.6908,0.0,0.0,-4.0
129,Advantage Cardinals with Suppan in Game 4,0,0,0,4,0,0,0.0,0.714,0.286,0.25,-0.4,0.4,2.0
130,NASA spacecraft to measure Sun,0,0,0,29,0,26,0.0,1.0,0.0,0.0,0.0,0.0,0.0
131,"Sony Hates Europeans, Will Prevent The Importing of PS3",34,8,0,0,0,22,0.264,0.636,0.1,-0.4215,0.0,0.0,-4.0
132,Flu Vaccine Appears Safe for Young Children,0,0,6,45,0,0,0.248,0.476,0.276,0.0772,0.3,0.45,-1.0
133,Google To Launch Yet Another Search Tool,0,0,0,21,0,6,0.0,1.0,0.0,0.0,0.0,0.0,0.0
134,Tropical Storm Paul's Outer Bands Hit Mexico's Baja California,16,0,32,0,57,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
135,Israeli Bomblets Plague Lebanon,54,48,67,0,39,0,0.0,1.0,0.0,0.0,0.0,0.0,-3.0
137,U.S. Weighs Sanctions Against North Korea,61,32,23,0,44,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
138,"Rice, in Baghdad, Insists That Iraqis Are",37,33,26,0,33,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
139,Senator Says U.S. Should Rethink Iraq Strategy,0,0,0,30,33,33,0.0,1.0,0.0,0.0,0.0,0.0,0.0
140,German Chief Forges Accord on Financing Health Care,0,0,0,33,0,15,0.0,0.686,0.314,0.4939,0.0,0.0,2.0
141,Turkish Writers Say Efforts to Stifle Speech May Backfire,49,11,45,8,35,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
142,Kurdish Lawmaker Killed in an Attack in Baghdad,52,42,75,0,59,0,0.559,0.441,0.0,-0.8225,-0.2,0.0,-4.0
143,Anti-U.S. Attack Videos Spread on the Internet,63,45,58,0,54,0,0.341,0.659,0.0,-0.4767,0.0,0.0,-2.0
144,"Women Face Greatest Threat of Violence at Home, Study Finds",51,62,57,0,58,17,0.401,0.374,0.225,-0.5106,1.0,1.0,-2.0
145,Appeal by Chinese Researcher for Times May Soon Be Heard,0,0,0,8,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
146,Brazil Air Force Cites Faults and Confusion in Fatal Crash,15,0,43,0,68,11,0.657,0.343,0.0,-0.8885,0.0,0.0,-5.0
147,A Mix of Oil and Environmentalism,29,29,33,0,33,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
148,Immigrants and French Reach Deal in Standoff,18,0,0,50,28,0,0.0,0.845,0.155,0.0258,0.0,0.0,1.0
149,Genghis Khan Beer? Mongolia Grimaces,20,0,0,15,0,20,0.412,0.588,0.0,-0.4215,0.0,0.0,0.0
150,Dead Bachelors in Remote China Still Find Wives,0,0,0,20,14,27,0.381,0.619,0.0,-0.6486,-0.15000000000000002,0.30000000000000004,-3.0
151,"Managua Journal: Hold the Mojito and Margarita, Nicaragua Has el Macu",0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
153,Paris Journal: Smoking No Longer Tres Chic in France,0,4,0,40,2,21,0.195,0.619,0.186,-0.0258,0.0,0.0,1.0
154,An Old Letter Casts Doubts on Iran's Goal for Uranium,0,0,25,8,0,39,0.196,0.804,0.0,-0.296,0.1,0.2,-1.0
155,U.S. Warns North Koreans About Nuclear Test,23,0,47,0,39,0,0.189,0.811,0.0,-0.1027,0.0,0.0,-2.0
156,Global Sludge Ends in Tragedy for Ivory Coast,0,0,11,4,71,0,0.386,0.614,0.0,-0.6597,0.0,0.0,-2.0
158,Equipment on Plane in Brazil Collision May Have Been Faulty,49,33,46,0,67,38,0.375,0.625,0.0,-0.5859,0.0,0.0,-2.0
160,Iraqi Journalists Add Laws to List of Dangers,7,0,47,0,28,13,0.314,0.686,0.0,-0.4939,0.0,0.0,0.0
161,U.N. Force Is Treading Lightly on Lebanese Soil,0,0,32,24,32,0,0.0,1.0,0.0,0.0,0.4,0.7,0.0
162,Cleric Said to Lose Reins Over Part of Iraqi Militia,33,33,33,0,38,9,0.231,0.769,0.0,-0.4019,0.0,0.0,0.0
163,"Citing Spy Agencies' Study, Democrats Seek Iraq Changes",0,0,0,33,0,36,0.0,1.0,0.0,0.0,0.0,0.0,0.0
164,Opera Canceled Over a Depiction of Muhammad,3,0,0,0,28,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
165,Military Officials Add to U.S. Criticism of Iraq's Government,25,2,7,30,0,26,0.266,0.734,0.0,-0.4404,-0.1,0.1,-2.0
166,Teacher in Hiding After Attack on Islam Stirs Threats,13,2,38,0,36,0,0.574,0.426,0.0,-0.7964,0.0,0.0,-4.0
167,Combative Bush Releases Parts of Terror Study,34,17,49,0,0,21,0.362,0.638,0.0,-0.5267,0.0,0.0,-3.0
168,Growing Unarmed Battalion in Qaeda Army Is Using Internet to Get the Message Out,39,37,56,0,35,6,0.0,0.884,0.116,0.1779,0.0,0.0,1.0
169,"Iraqi Linked to Sunni Bloc Is Held in Plot, Military Says",32,33,41,0,31,0,0.0,1.0,0.0,0.0,-0.1,0.1,0.0
170,"Seduced by Snacks? No, Not You",26,30,0,4,28,0,0.54,0.46,0.0,-0.5719,0.0,0.0,-2.0
171,Friends for Life: An Emerging Biology of Emotional Healing,0,0,0,87,0,16,0.0,0.598,0.402,0.5719,0.0,0.65,0.0
172,"Alzheimer's Drugs Offer No Help, Study Finds",33,0,16,0,91,47,0.222,0.505,0.273,0.128,0.0,0.0,1.0
173,"Across Europe, Worries on Islam Spread to Center",10,9,19,0,43,0,0.286,0.714,0.0,-0.4215,-0.1,0.1,-3.0
174,Cooking Defines Sephardic Jews at Sukkot,0,0,0,49,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
175,"Fitness: Bodies in Motion, Clean and Sober",0,0,0,64,0,0,0.0,0.51,0.49,0.5859,0.23333333333333334,0.45000000000000007,3.0
176,In God's Name: Religion-Based Tax Breaks: Housing to Paychecks to Books,0,0,0,10,0,10,0.0,1.0,0.0,0.0,0.0,0.0,1.0
177,"Yankee Dies in Plane Crash, Official Says",0,0,9,0,93,0,0.31,0.69,0.0,-0.4019,0.0,0.0,-2.0
178,An Elephant Crackup?,11,0,0,14,31,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
179,"With YouTube, Grad Student Hits Jackpot Again",0,0,0,72,0,42,0.0,1.0,0.0,0.0,0.0,0.0,0.0
180,Dow flirts with record highs again,0,0,0,67,0,51,0.0,0.746,0.254,0.1779,0.0,0.0,0.0
181,Tropical Storm Isaac forms in Atlantic,0,0,86,0,10,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
182,New Iraq terror tape calls for abducting foreigners,37,35,95,0,37,0,0.327,0.673,0.0,-0.5267,0.13636363636363635,0.45454545454545453,-3.0
183,'Deep regret' for ex-HP exec,0,4,0,0,40,6,0.412,0.588,0.0,-0.4215,0.0,0.4,-2.0
184,'Opportunity' knocks on geologist's dream crater,0,0,0,13,0,3,0.0,0.714,0.286,0.25,0.0,0.0,3.0
185,Squirrel jumps boy in park; rabies suspected,28,4,61,0,28,62,0.241,0.759,0.0,-0.2263,0.0,0.0,-1.0
186,Girl left comatose after dental visit dies,39,39,62,12,66,9,0.0,1.0,0.0,0.0,0.0,0.0,0.0
187,Porn star candidate campaigns on campus,31,36,0,28,33,20,0.0,1.0,0.0,0.0,0.0,0.0,0.0
188,School ends football season after 0-4 start,0,0,0,0,5,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
189,Charlie Sheen to become highest-paid sitcom star,3,3,0,54,0,10,0.0,1.0,0.0,0.0,0.0,0.0,0.0
190,Jon Stewart mocks benefits of CNN's I,13,13,0,0,5,21,0.312,0.417,0.271,-0.1027,0.0,0.0,0.0
191,Ashton Kutcher tells secret to Ryan Seacrest,0,0,0,8,0,11,0.0,1.0,0.0,0.0,-0.4,0.7,0.0
192,Nails-on-chalkboard study earns Ig,4,20,0,3,0,10,0.0,1.0,0.0,0.0,0.0,0.0,0.0
193,Gunman 'fine' before shooting,6,6,6,0,22,10,0.0,1.0,0.0,0.0,0.4166666666666667,0.5,2.0
194,Marijuana may stave off Alzheimer's,0,2,0,25,0,47,0.0,1.0,0.0,0.0,0.0,0.0,0.0
195,Kentucky seeks alcohol huffing ban,4,4,17,32,0,25,0.474,0.526,0.0,-0.5574,0.0,0.0,-2.0
196,Toddler died from tainted spinach,59,26,27,0,89,22,0.474,0.526,0.0,-0.5574,0.0,0.0,-5.0
197,Judge dismisses Karr's porn case,6,6,0,3,0,13,0.0,1.0,0.0,0.0,0.0,0.0,0.0
198,10 die in 22-hour Kashmir standoff,50,38,62,0,54,0,0.438,0.562,0.0,-0.5994,0.0,0.0,-3.0
199,Slain Amish girls laid to rest,22,7,35,0,76,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
200,"5,000 flee plant fire",30,0,85,0,37,0,0.444,0.556,0.0,-0.34,0.0,0.0,-2.0
201,Cher auction fetches double pre-sale estimates,0,0,0,45,0,21,0.0,1.0,0.0,0.0,0.0,0.0,0.0
202,Stars scuffle on 'Grey's Anatomy',15,16,0,0,0,0,0.0,1.0,0.0,0.0,-0.05,0.1,-1.0
203,Probe under way in Yankee crash,2,0,14,8,55,0,0.351,0.649,0.0,-0.4019,0.0,0.0,-2.0
204,Amish schoolhouse torn down,29,27,37,0,73,2,0.4,0.6,0.0,-0.25,-0.15555555555555559,0.2888888888888889,-2.0
205,Warner will not run in '08,0,0,0,0,33,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0
206,Reid land deal under scrutiny,2,0,0,0,3,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
207,"Flooding washes out road to Valdez, Alaska",0,0,36,0,39,10,0.0,1.0,0.0,0.0,0.0,0.0,0.0
208,Briton admits U.S. bomb plot role,23,21,28,0,33,0,0.34,0.426,0.234,-0.25,0.0,0.0,-2.0
209,Commentary: Minutemen have a right to be idiotic,7,0,0,2,0,0,0.375,0.625,0.0,-0.5574,-0.19047619047619047,0.6845238095238095,-3.0
210,Madonna files adoption papers,0,0,0,30,0,16,0.0,1.0,0.0,0.0,0.0,0.0,0.0
211,Gunmen kill 9 at Iraqi TV station,28,31,69,0,58,0,0.485,0.515,0.0,-0.6908,0.0,0.0,-3.0
212,Hastert sorry for scandal but not quitting,4,7,0,0,27,3,0.383,0.617,0.0,-0.2732,-0.5,1.0,-4.0
213,Ex-JonBenet suspect: Child porn case dropped,5,5,0,4,0,0,0.306,0.694,0.0,-0.296,0.0,0.0,-2.0
214,"Waste plant fire forces 5,000 to evacuate",26,6,30,6,66,0,0.51,0.49,0.0,-0.6369,-0.2,0.0,-4.0
215,Toddler died from E. coli tainted spinach,25,26,8,0,83,0,0.375,0.625,0.0,-0.5574,0.0,0.0,-5.0
216,Disturbing finds in child sex raids,50,59,4,0,42,0,0.398,0.602,0.0,-0.5106,-0.5,0.8,-2.0
217,Magazine lists women who had abortions,40,27,0,0,33,14,0.0,1.0,0.0,0.0,0.0,0.0,0.0
218,"Pot smokers may avoid Alzheimer's, study says",0,0,4,10,0,66,0.268,0.732,0.0,-0.296,0.0,0.0,-1.0
219,Student starts white men's club on campus,7,29,13,0,33,19,0.0,1.0,0.0,0.0,0.0,0.0,0.0
220,Kentucky wants to ban alcohol inhalers,0,0,8,5,0,16,0.419,0.581,0.0,-0.5574,0.2,0.1,-2.0
221,Peter Pan flies into chapter two,0,0,0,25,0,26,0.0,1.0,0.0,0.0,0.0,0.0,0.0
222,Teen repellent inventor wins infamous prize,0,20,0,41,0,17,0.0,0.364,0.636,0.7906,-0.275,0.55,2.0
223,"Cher's dress, car, bed have new owners",0,0,0,17,0,2,0.0,1.0,0.0,0.0,0.13636363636363635,0.45454545454545453,0.0
224,"Dow hits new record, eyes 12,000",0,0,0,49,0,0,0.0,1.0,0.0,0.0,0.13636363636363635,0.45454545454545453,0.0
225,Ex-Virginia gov not running for president,0,0,0,0,0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0
226,Yankee pitcher's pilot log found,0,0,0,0,0,9,0.0,1.0,0.0,0.0,0.0,0.0,0.0
228,Dem leader's $1 million land deal under scrutiny,15,10,0,6,13,11,0.0,1.0,0.0,0.0,0.0,0.0,0.0
229,"Dad locked up son, watched on TV, police say",4,23,0,0,28,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
230,Navarrette: Minutemen have a right to be idiotic,3,0,0,6,13,5,0.375,0.625,0.0,-0.5574,-0.19047619047619047,0.6845238095238095,-3.0
231,"Pit bulls jump miniature pony, leave her bloody",4,33,26,0,37,0,0.406,0.594,0.0,-0.4767,-0.8,0.9,-4.0
232,Alaska town cut off from rest of state by flood,3,0,56,0,43,0,0.189,0.811,0.0,-0.2732,0.0,0.0,-1.0
233,Trailblazing trio protects City by the Bay,0,0,0,29,0,6,0.0,0.723,0.277,0.3182,0.0,0.0,1.0
234,Madonna files adoption papers in Malawi,0,0,0,44,0,17,0.0,1.0,0.0,0.0,0.0,0.0,0.0
235,'Dr. McDreamy' choked in 'Grey's' scuffle,0,0,24,0,49,20,0.383,0.617,0.0,-0.4767,-0.05,0.1,-3.0
236,"$10,000 poetry prize awarded",0,0,0,86,0,11,0.0,0.25,0.75,0.7184,0.0,0.0,3.0
237,Las Vegas honour for tiger pair,0,0,0,77,0,36,0.0,0.575,0.425,0.5719,0.0,0.0,2.0
238,UK characters boosting box office,0,0,0,67,0,39,0.0,0.625,0.375,0.34,0.0,0.0,1.0
239,Cher items snapped up at auction,0,0,0,18,0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0
240,Griffiths scorns Withnail 'play',12,35,0,4,3,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
241,Lily Allen wins web music award,0,0,0,93,0,17,0.0,0.357,0.643,0.802,0.3,0.2,7.0
242,Costner appeals in casino wrangle,55,0,0,0,15,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0
